Date,Close/Last,Volume,Open,High,Low
03/03/2020,8684.09,0,8965.1,9070.32,8602.89
03/02/2020,8952.16,0,8667.14,8952.81,8543.35
02/28/2020,8567.37,0,8269.74,8591.82,8264.16
02/27/2020,8566.48,0,8744.03,8904.11,8562.05
02/26/2020,8980.77,0,9011.55,9148.32,8927.8
02/25/2020,8965.61,0,9301.2,9315.26,8940.49
02/24/2020,9221.28,0,9188.44,9322.88,9166.01
02/21/2020,9576.59,0,9708.01,9715.95,9542.33
02/20/2020,9750.96,0,9799.2,9820.86,9636.94
02/19/2020,9817.18,0,9782.81,9838.37,9777.1
02/18/2020,9732.74,0,9679.04,9747.68,9675.8
02/14/2020,9731.18,0,9728.9,9746.36,9693.05
02/13/2020,9711.97,0,9657.04,9748.32,9650.02
02/12/2020,9725.96,0,9688.6,9728.77,9666.68
02/11/2020,9638.94,0,9680.89,9714.74,9617.21
02/10/2020,9628.39,0,9493.63,9628.66,9493.63
02/07/2020,9520.51,0,9526.64,9570.09,9496.53
02/06/2020,9572.15,0,9540.98,9575.66,9505.68
02/05/2020,9508.68,0,9574.1,9574.94,9454.93
02/04/2020,9467.97,0,9398.39,9485.38,9374.05
02/03/2020,9273.4,0,9190.72,9299.85,9188.55
01/31/2020,9150.94,0,9284.93,9324.8,9123.22
01/30/2020,9298.93,0,9211.15,9303,9185.18
01/29/2020,9275.16,0,9318.26,9329.11,9249.04
01/28/2020,9269.68,0,9201.82,9288.87,9182.33
01/27/2020,9139.31,0,9092.46,9185.45,9088.04
01/24/2020,9314.91,0,9446.2,9451.43,9273.23
01/23/2020,9402.48,0,9377.72,9409.2,9334.13
01/22/2020,9383.77,0,9413.61,9439.29,9375.13
01/21/2020,9370.81,0,9361.07,9397.58,9350.2
01/17/2020,9388.94,0,9392.37,9393.48,9346.81
01/16/2020,9357.13,0,9313.45,9357.92,9301.32
01/15/2020,9258.7,0,9253.76,9298.82,9231.14
01/14/2020,9251.33,0,9270.61,9298.33,9226.49
01/13/2020,9273.93,0,9213.72,9274.49,9193.06
01/10/2020,9178.86,0,9232.94,9235.2,9164.66
01/09/2020,9203.43,0,9202.27,9215.95,9158.5
01/08/2020,9129.24,0,9068.03,9168.89,9059.38
01/07/2020,9068.58,0,9076.64,9091.93,9042.55
01/06/2020,9071.46,0,8943.5,9072.41,8943.5
01/03/2020,9020.77,0,8976.43,9065.76,8976.43
01/02/2020,9092.19,0,9039.46,9093.43,9010.89
12/31/2019,8972.6,0,8918.74,8975.35,8912.77
12/30/2019,8945.99,0,9004.45,9006.36,8909.19
12/27/2019,9006.62,0,9049.47,9052,8987.32
12/26/2019,9022.39,0,8970.21,9022.46,8968.45
12/24/2019,8952.88,0,8955.01,8957.12,8934.36
12/23/2019,8945.65,0,8950.2,8956.64,8934.55
12/20/2019,8924.96,0,8911.84,8931.91,8901.87
12/19/2019,8887.22,0,8838.97,8888.13,8838.97
12/18/2019,8827.73,0,8834.65,8848.76,8820.42
12/17/2019,8823.36,0,8829.47,8831.99,8804.6
12/16/2019,8814.23,0,8791.31,8833.45,8789.77
12/13/2019,8734.88,0,8713.91,8768.87,8697.58
12/12/2019,8717.32,0,8645.36,8745.82,8633.6
12/11/2019,8654.05,0,8631.12,8658.48,8622.35
12/10/2019,8616.18,0,8623.56,8650.76,8600.82
12/09/2019,8621.83,0,8650.86,8678.85,8619.77
12/06/2019,8656.53,0,8634.25,8665.44,8630.57
12/05/2019,8570.7,0,8587.93,8588.89,8541.92
12/04/2019,8566.67,0,8557.45,8584.88,8552.38
12/03/2019,8520.64,0,8460.72,8523.98,8435.4
12/02/2019,8567.99,0,8672.84,8672.84,8540.16
11/29/2019,8665.47,0,8682.01,8697.32,8664.04
11/27/2019,8705.18,0,8669.59,8705.91,8662.58
11/26/2019,8647.93,0,8635.4,8659.73,8625.62
11/25/2019,8632.49,0,8559.65,8633.15,8559.65
11/22/2019,8519.88,0,8530.54,8535.46,8477.49
11/21/2019,8506.21,0,8527.87,8530.73,8487.29
11/20/2019,8526.73,0,8543.57,8578.27,8468.63
11/19/2019,8570.66,0,8578.02,8589.76,8536.73
11/18/2019,8549.94,0,8529.16,8559.78,8503.62
11/15/2019,8540.83,0,8524.48,8540.83,8506.8
11/14/2019,8479.02,0,8461.06,8485.36,8441.58
11/13/2019,8482.1,0,8455.02,8496.9,8451.34
11/12/2019,8486.09,0,8471.07,8514.84,8462.99
11/11/2019,8464.28,0,8431.26,8467.29,8425.48
11/08/2019,8475.31,0,8422.67,8475.57,8405.89
11/07/2019,8434.52,0,8455.11,8483.16,8415.87
11/06/2019,8410.63,0,8426.57,8426.57,8379.33
11/05/2019,8434.68,0,8446.62,8457.39,8421.05
11/04/2019,8433.2,0,8445.5,8451.37,8421.3
11/01/2019,8386.4,0,8335.05,8386.75,8326.56
10/31/2019,8292.36,0,8314.38,8321.8,8248.81
10/30/2019,8303.98,0,8284.28,8315.5,8241.7
10/29/2019,8276.85,0,8313.35,8319.29,8275.14
10/28/2019,8325.99,0,8285.77,8335.56,8285.27
10/25/2019,8243.12,0,8150.59,8249.97,8150.59
10/24/2019,8185.8,0,8180.04,8187.84,8137.66
10/23/2019,8119.79,0,8090.24,8122.88,8078.35
10/22/2019,8104.3,0,8188.12,8194.62,8101.98
10/21/2019,8162.99,0,8137.42,8164.14,8117.26
10/18/2019,8089.54,0,8149.85,8157.36,8045.37
10/17/2019,8156.85,0,8176.91,8183.64,8131.25
10/16/2019,8124.18,0,8119.81,8146.15,8103.38
10/15/2019,8148.71,0,8074.85,8166.18,8071.81
10/14/2019,8048.65,0,8044.35,8069.85,8036.41
10/11/2019,8057.04,0,8085.2,8115.8,8046.8
10/10/2019,7950.78,0,7904.56,7982.84,7899.81
10/09/2019,7903.74,0,7895.96,7930.92,7873.52
10/08/2019,7823.78,0,7898.27,7921.88,7823.73
10/07/2019,7956.29,0,7956.41,8013.31,7942.08
10/04/2019,7982.47,0,7908.44,7986.62,7899.39
10/03/2019,7872.26,0,7787.02,7872.26,7700
10/02/2019,7785.25,0,7851.13,7852.7,7744.96
10/01/2019,7908.68,0,8026.83,8062.5,7906.29
09/30/2019,7999.34,0,7964.09,8012.16,7949.63
09/27/2019,7939.63,0,8047.11,8051.83,7890.28
09/26/2019,8030.66,0,8070.12,8072.11,7991.02
09/25/2019,8077.38,0,7990.66,8095,7935.57
09/24/2019,7993.63,0,8147.23,8158.83,7969.65
09/23/2019,8112.46,0,8106.49,8135.81,8085.34
09/20/2019,8117.67,0,8184.88,8202.82,8086.16
09/19/2019,8182.88,0,8193.59,8237.43,8174.32
09/18/2019,8177.39,0,8174.62,8179.87,8086.22
09/17/2019,8186.02,0,8148.65,8188.23,8139.82
09/16/2019,8153.54,0,8121.64,8165.33,8121.25
09/13/2019,8176.71,0,8190.57,8210.2,8165.47
09/12/2019,8194.47,0,8206.58,8243.8,8176.73
09/11/2019,8169.68,0,8091.68,8169.68,8081.56
09/10/2019,8084.16,0,8049.98,8086.53,8001.68
09/09/2019,8087.44,0,8130.91,8131.66,8052.34
09/06/2019,8103.07,0,8125.58,8134.39,8098.52
09/05/2019,8116.83,0,8061.29,8134.42,8061.29
09/04/2019,7976.88,0,7949.81,7981.41,7928.94
09/03/2019,7874.16,0,7906.44,7940.37,7847.32
08/30/2019,7962.88,0,8015.16,8017.91,7914.74
08/29/2019,7973.39,0,7945.78,7992.29,7925.83
08/28/2019,7856.88,0,7798.35,7866.87,7766.67
08/27/2019,7826.95,0,7908.78,7916.83,7795.18
08/26/2019,7853.74,0,7829.58,7856.04,7789.05
08/23/2019,7751.77,0,7943.65,8005.34,7730.77
08/22/2019,7991.39,0,8038.79,8048.58,7937.12
08/21/2019,8020.21,0,8017.07,8036.94,7998.5
08/20/2019,7948.56,0,7989.36,8010.58,7948.09
08/19/2019,8002.81,0,8006.18,8026.75,7974.36
08/16/2019,7895.99,0,7828.35,7907.52,7828.35
08/15/2019,7766.62,0,7790.2,7805.93,7716.55
08/14/2019,7773.94,0,7877.33,7900.28,7762.87
08/13/2019,8016.36,0,7852.37,8065.24,7851.58
08/12/2019,7863.41,0,7907.49,7924.99,7833.79
08/09/2019,7959.14,0,7997.19,8020.56,7910.35
08/08/2019,8039.16,0,7921.59,8041.12,7896.15
08/07/2019,7862.83,0,7747.27,7881.38,7702.42
08/06/2019,7833.27,0,7804.51,7845.01,7739.57
08/05/2019,7726.04,0,7823.33,7836.45,7662.9
08/02/2019,8004.07,0,8056.42,8068.8,7953.67
08/01/2019,8111.12,0,8190.56,8311.04,8080.52
07/31/2019,8175.42,0,8290.8,8299.83,8110.02
07/30/2019,8273.61,0,8231.77,8295.46,8228.02
07/29/2019,8293.33,0,8325.1,8325.28,8247.37
07/26/2019,8330.21,0,8294.3,8339.64,8291.12
07/25/2019,8238.54,0,8294.68,8295.95,8233.4
07/24/2019,8321.5,0,8227.36,8321.81,8226.5
07/23/2019,8251.4,0,8242.5,8251.83,8193.89
07/22/2019,8204.14,0,8171.99,8218.42,8171.54
07/19/2019,8146.49,0,8241.34,8245.78,8144.63
07/18/2019,8207.24,0,8151.76,8215.58,8135.12
07/17/2019,8185.21,0,8224,8230.67,8184.66
07/16/2019,8222.8,0,8251.66,8259.75,8204.23
07/15/2019,8258.19,0,8263.18,8264.78,8236.27
07/12/2019,8244.14,0,8209.2,8245.66,8201.52
07/11/2019,8196.04,0,8219.28,8226.18,8171.63
07/10/2019,8202.53,0,8183.19,8228.6,8160.56
07/09/2019,8141.73,0,8061.41,8146.98,8061.32
07/08/2019,8098.38,0,8112.91,8112.91,8078.39
07/05/2019,8161.79,0,8123.28,8171.97,8093.66
07/03/2019,8170.23,0,8129.57,8170.23,8122.34
07/02/2019,8109.09,0,8086.65,8109.37,8063.1
07/01/2019,8091.16,0,8145.85,8150.45,8059.29
06/28/2019,8006.24,0,7988.76,8010.15,7961.46
06/27/2019,7967.76,0,7939.36,7976.58,7935.47
06/26/2019,7909.97,0,7933.92,7974.28,7903.07
06/25/2019,7884.72,0,8005.27,8007.31,7879.15
